id	image	draft_board	unknown_squares
72	src/assets/diagrams/image72.png	r2q?1k?/5ppp/?4n2/1pbP1??1/8/?1?n1B2/PP1?1PPP/?2?1?K?	e8,h8,a6,f5,g5,a3,c3,d2,a1,d1,f1,h1
73	src/assets/diagrams/image73.png	?3?2?/5p?1/7?/8/1p4P1/1P1?2P1/1?3?BP/?N??3?	a8,e8,h8,g7,h6,d3,b2,f2,a1,c1,d1,h1
74	src/assets/diagrams/image74.png	?6?/ppp2ppp/4p3/3pP3/3P4/8/PPP2PPP/?6?	a8,h8,a1,h1
75	src/assets/diagrams/image75.png	?6?/ppp2p1p/3p2p1/3Pp3/2P1P3/5P2/PP4PP/?6?	a8,h8,a1,h1
76	src/assets/diagrams/image76.png	r2q1?k?/pp??1?1p/3p1nn1/?2Pp3/1P2Ppp1/5P2/4B?PP/?1?Q??K?	f8,h8,c7,d7,f7,a5,f2,a1,c1,e1,f1,h1
77	src/assets/diagrams/image77.png	?4?k?/?p1?1?1p/3p2n1/?B1Pp3/4Pp2/3?1P2/5?PP/?1?1?1K?	a8,f8,h8,a7,d7,f7,a5,d3,f2,a1,c1,e1,h1
78	src/assets/diagrams/image78.png	r1b2?k?/4bppp/?1?ppn2/8/1p2P1P1/1B?1?3/PPP1?P1P/?1K?2??	f8,h8,a6,c6,c3,e3,e2,a1,d1,g1,h1
79	src/assets/diagrams/image79.png	?1?1?2?/5ppp/5b2/?p1N1P2/?7/pP1BP2?/P3?P2/??1?2??	a8,c8,e8,h8,a5,a4,h3,e2,a1,b1,d1,g1,h1
80	src/assets/diagrams/image80.png	?6?/5pp?/5b1?/1p?2P2/8/pP5?/P1B2P2/?1K??2?	a8,h8,h7,h6,c5,h3,a1,d1,e1,h1
81	src/assets/diagrams/image81.png	?5k?/5pp1/7?/8/8/8/8/?6?	a8,h8,h6,a1,h1
82	src/assets/diagrams/image82.png	?5k?/5pp1/7?/6P1/8/8/8/?2QK1??	a8,h8,h6,a1,g1,h1
83	src/assets/diagrams/image83.png	?5k?/4ppbp/3p2p1/8/8/8/8/?6?	a8,h8,a1,h1
84	src/assets/diagrams/image84.png	?5k?/5pbp/6p?/7?/8/8/3?4/?3K2R	a8,h8,h6,h5,d2,a1
85	src/assets/diagrams/image85.png	r4?1?/pp1?1p1?/3pp1n1/7?/4P3/1B3q2/P1P1N3/??5?	f8,h8,d7,h7,h5,a1,b1,h1
86	src/assets/diagrams/image86.png	?2?1?k?/2?2ppp/?1n?pn2/1p6/1P6/?1N1PN2/1?2?PPP/?B?2?K?	a8,d8,f8,h8,c7,a6,d6,a3,b2,e2,a1,c1,f1,h1
87	src/assets/diagrams/image87.png	r2?2k?/pp2nppp/1?n5/4P?2/8/1?3N?1/PP1NBPPP/?1?4R	d8,h8,b6,f5,b3,g3,a1,c1
88	src/assets/diagrams/image88.png	?2?3?/p4pp?/3N?2?/3nP3/1?6/1P1?1P?1/?2?2PP/?6R	a8,d8,h8,h7,e6,h6,b4,d3,g3,a2,d2,a1
89	src/assets/diagrams/image89.png	??4k?/pp1?1ppp/2p5/8/8/7?/PPP2PP1/?5K?	a8,b8,h8,d7,h3,a1,h1
90	src/assets/diagrams/image90.png	r1?1k2?/pp1qn2p/5pp1/3p2N1/6?1/8/PP3PPP/?1?1?1K?	c8,h8,g4,a1,c1,e1,h1
91	src/assets/diagrams/image91.png	?1?1?1k?/1p1q1ppp/3p1?2/p2P4/3?4/5N2/PP2?PPP/?3?1K?	a8,c8,e8,h8,f6,d4,e2,a1,e1,h1
92	src/assets/diagrams/image92.png	?2?2k?/p4p1p/1p2q?2/6p1/PPp1Pp2/2P?1P2/2?2?PP/?1?2?K?	a8,d8,h8,f6,d3,c2,f2,a1,c1,f1,h1
